name,latitude,longitude,datetime,tempmax,tempmin,temp,dew,humidity,precip,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions,description
PITTSBURGH,40.438,-79.997,1/1/2017,6.6,-0.3,2.8,-2.1,71.1,0.64,12.5,0,0.4,46.4,24.9,202.8,1021.6,41.4,15.4,105.2,9,5,"Snow, Rain, Partially cloudy",Clearing in the afternoon with early morning snow or rain.
PITTSBURGH,40.438,-79.997,1/2/2017,7.9,2.8,5.9,3.8,86.9,2.24,29.17,0,0,,14.5,108.3,1021.8,84.3,8.8,28.1,2.6,1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
PITTSBURGH,40.438,-79.997,1/3/2017,9.2,6.1,7.3,5.9,91,19.72,70.83,0,0,29.5,16.4,159.6,1006.3,77.4,8.5,21.7,1.8,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
PITTSBURGH,40.438,-79.997,1/4/2017,6.8,-6.1,1,-4.8,67.4,1.35,41.67,0,0,57.7,36.3,274.8,1007.1,72.8,14.5,113.3,9.8,5,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.
PITTSBURGH,40.438,-79.997,1/5/2017,-5.2,-7.2,-6.3,-11.4,68.2,1.3,25,2.6,0.9,34.7,22.3,256.5,1015.1,81.2,10.3,37.9,3.4,2,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.
PITTSBURGH,40.438,-79.997,1/6/2017,-8,-14.1,-10.9,-15.9,67.6,0.21,4.17,1.5,3.4,,16.4,281.1,1022.1,32.2,14.3,68,5.9,3,"Snow, Partially cloudy",Becoming cloudy in the afternoon with early morning snow.
PITTSBURGH,40.438,-79.997,1/7/2017,-8.9,-13.5,-11.6,-17.2,64,0,0,2,3.2,33.5,21.3,300.1,1029.4,57.6,15.5,73.9,6.3,4,Partially cloudy,Partly cloudy throughout the day.
PITTSBURGH,40.438,-79.997,1/8/2017,-9.1,-13.9,-11.9,-18.2,60.3,0,0,0,2.8,45.1,23.7,269,1035.7,46.5,15.2,72.4,6.1,3,Partially cloudy,Becoming cloudy in the afternoon.
PITTSBURGH,40.438,-79.997,1/9/2017,-2.3,-15.1,-8.4,-16.5,54,0,0,0,2.1,,19.8,182.5,1035.4,58.4,16,75.8,6.6,4,Partially cloudy,Partly cloudy throughout the day.
PITTSBURGH,40.438,-79.997,1/10/2017,9.5,-4.5,2.1,-3.8,66.9,2.58,50,0,1.6,64.5,38.2,168.9,1020.9,80.2,13.2,42.3,3.6,2,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.
