Customer ID,Gender,Age,Income (USD/Month),age_group
29290,Male,28,10813,26-35
27703,Male,27,9237,26-35
28712,Male,53,11242,46-65
28020,Male,23,23327,18-25
27182,Male,33,8536,26-35
27318,Male,25,13984,18-25
33788,Male,23,23788,18-25
34106,Male,19,19980,18-25
59799,Male,33,19271,26-35
57982,Male,57,5068,46-65
58774,Male,20,23602,18-25
58627,Male,28,27338,26-35
59007,Male,63,6683,46-65
58215,Male,25,6862,18-25
59372,Male,53,4912,46-65
57950,Male,58,16997,46-65
59533,Male,29,17520,26-35
58346,Male,27,21650,26-35
58925,Male,38,26550,36-45
58551,Male,25,21734,18-25
59804,Male,31,4550,26-35
57200,Male,23,3268,18-25
57931,Male,40,5666,36-45
3077,Male,22,16759,18-25
4734,Male,33,30608,26-35
4004,Male,18,3896,18-25
5528,Male,34,14974,26-35
5785,Male,21,11230,18-25
3714,Male,33,4521,26-35
3746,Male,24,2371,18-25
4289,Male,19,28719,18-25
5777,Male,24,28850,18-25
3571,Male,44,15166,36-45
4779,Male,27,6416,26-35
5734,Male,23,22475,18-25
3051,Male,30,34757,26-35
5915,Male,26,24115,26-35
5628,Male,33,15231,26-35
3125,Male,25,9562,18-25
4813,Male,46,24809,46-65
4682,Male,62,6075,46-65
3787,Male,27,33382,26-35
5029,Male,53,3015,46-65
3600,Male,20,4277,18-25
4606,Male,27,8633,26-35
3546,Male,47,5340,46-65
5707,Male,20,15397,18-25
4457,Male,22,18960,18-25
3330,Male,46,5216,46-65
5094,Male,43,27243,36-45
5284,Male,53,5084,46-65
5741,Male,44,21700,36-45
25949,Male,32,31491,26-35
24086,Male,60,19410,46-65
25155,Male,27,10997,26-35
25247,Male,26,24178,26-35
24530,Male,47,10312,46-65
24144,Male,52,21243,46-65
30718,Male,52,20255,46-65
30769,Male,51,33152,46-65
31634,Male,47,2880,46-65
30725,Male,29,4437,26-35
8693,Male,21,15024,18-25
8354,Male,48,12229,46-65
8953,Male,38,10973,36-45
7409,Male,18,7182,18-25
8448,Male,62,7002,46-65
7598,Male,33,10791,26-35
7475,Male,52,21930,46-65
8197,Male,27,18995,26-35
8159,Male,40,12634,36-45
8543,Male,39,20564,36-45
8702,Male,20,3795,18-25
8661,Male,46,31986,46-65
8624,Male,45,24169,36-45
6318,Male,61,28764,46-65
8420,Male,30,3193,26-35
7309,Male,23,15247,18-25
8091,Male,23,21938,18-25
6940,Male,40,2067,36-45
8927,Male,19,17197,18-25
7002,Male,54,24555,46-65
8555,Male,27,8465,26-35
6214,Male,53,9447,46-65
6068,Male,33,8788,26-35
8125,Male,28,17969,26-35
7723,Male,58,2948,46-65
8773,Male,37,25735,36-45
8488,Male,52,4690,46-65
7277,Male,23,20528,18-25
7342,Male,30,31080,26-35
8820,Male,20,10416,18-25
8069,Male,22,13610,18-25
7317,Male,19,16209,18-25
6343,Male,42,17207,36-45
6941,Male,54,17067,46-65
7974,Male,41,21855,36-45
8294,Male,28,14024,26-35
7355,Male,31,6166,26-35
7451,Male,19,4391,18-25
7924,Male,26,23137,26-35
6458,Male,20,14682,18-25
6017,Male,35,22130,26-35
7615,Male,24,17363,18-25
6236,Male,61,12821,46-65
7432,Male,36,31294,36-45
7199,Male,31,20802,26-35
7388,Male,37,10894,36-45
8745,Male,26,13927,26-35
6437,Male,32,19793,26-35
7928,Male,36,14286,36-45
6465,Male,46,3249,46-65
6249,Male,31,12237,26-35
7836,Male,64,8890,46-65
7539,Male,40,24169,36-45
7940,Male,57,13452,46-65
8600,Male,28,7168,26-35
8846,Male,33,10251,26-35
8751,Male,34,17745,26-35
8586,Male,37,3513,36-45
7927,Male,62,14300,46-65
11224,Male,18,2913,18-25
9584,Male,31,22812,26-35
11646,Male,32,17133,26-35
55370,Male,27,12845,26-35
54452,Male,25,23628,18-25
2416,Male,28,21399,26-35
2060,Male,18,8149,18-25
1451,Male,35,23989,26-35
1609,Male,30,23036,26-35
2927,Male,33,14520,26-35
2626,Male,18,30401,18-25
502,Male,28,15285,26-35
2571,Male,33,4620,26-35
769,Male,63,29758,46-65
373,Male,27,5070,26-35
533,Male,52,15974,46-65
