City,Date,Latitude,Longitude,Temperature C,Cloud Cover %,Precipitation mm,Humidity %,Wind Speed km,Snow Depth mm,Snow mm,Conditions
NASHVILLE,2016-01-01,36.168,-86.778,2.5,60.7,0.0,62.8,13.2,0.0,0.0,Partially cloudy
NASHVILLE,2016-01-02,36.168,-86.778,2.5,24.5,0.0,60.0,13.0,0.0,0.0,Partially cloudy
NASHVILLE,2016-01-03,36.168,-86.778,4.0,29.5,0.0,58.4,25.4,0.0,0.0,Partially cloudy
NASHVILLE,2016-01-04,36.168,-86.778,0.8,65.3,0.0,57.5,28.7,0.0,0.0,Partially cloudy
NASHVILLE,2016-01-05,36.168,-86.778,0.3,30.5,0.0,55.1,16.5,0.0,0.0,Partially cloudy
NASHVILLE,2016-01-06,36.168,-86.778,1.2,48.2,0.0,53.8,14.1,0.0,0.0,Partially cloudy
NASHVILLE,2016-01-07,36.168,-86.778,6.2,75.4,0.0,69.3,15.8,0.0,0.0,Partially cloudy
NASHVILLE,2016-01-08,36.168,-86.778,11.6,95.8,0.32,78.8,19.8,0.0,0.0,"Rain, Overcast"
NASHVILLE,2016-01-09,36.168,-86.778,10.3,94.3,5.01,83.6,19.8,0.0,0.0,"Rain, Overcast"
NASHVILLE,2016-01-10,36.168,-86.778,-1.8,69.4,2.47,72.5,27.1,0.0,0.0,"Snow, Rain, Partially cloudy"
NASHVILLE,2016-01-11,36.168,-86.778,-2.8,47.8,0.0,56.9,24.7,0.0,0.0,Partially cloudy
NASHVILLE,2016-01-12,36.168,-86.778,3.3,57.3,0.0,41.7,27.0,0.0,0.0,Partially cloudy
NASHVILLE,2016-01-13,36.168,-86.778,-0.4,18.5,0.0,48.6,16.4,0.0,0.0,Clear
NASHVILLE,2016-01-14,36.168,-86.778,8.6,38.6,0.13,49.5,27.3,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-01-15,36.168,-86.778,8.1,94.3,8.76,75.2,31.1,0.0,0.0,"Rain, Overcast"
NASHVILLE,2016-01-16,36.168,-86.778,3.2,99.9,0.0,71.1,15.1,0.0,0.0,Overcast
NASHVILLE,2016-01-17,36.168,-86.778,0.3,87.9,0.0,62.9,25.8,0.0,0.0,Partially cloudy
NASHVILLE,2016-01-18,36.168,-86.778,-7.5,34.9,0.0,49.9,18.5,0.0,0.0,Partially cloudy
NASHVILLE,2016-01-19,36.168,-86.778,-6.2,61.1,0.0,52.5,14.9,0.0,0.0,Partially cloudy
NASHVILLE,2016-01-20,36.168,-86.778,-0.8,98.4,6.37,78.5,13.1,0.0,0.0,"Snow, Rain, Overcast"
